seed,mode,selected_round,validation_macro_f1,test_macro_f1,test_accuracy,test_balanced_accuracy,temporal_holdout_accuracy,temporal_holdout_false_alarm_rate,fedavg_client_local_test_macro_f1_mean,fedavg_client_local_test_macro_f1_population_stddev,fedavg_client_local_test_macro_f1_minimum,fedavg_client_local_test_macro_f1_maximum,local_only_client_local_test_macro_f1_mean,local_only_client_local_test_macro_f1_population_stddev,local_only_client_local_test_macro_f1_minimum,local_only_client_local_test_macro_f1_maximum,fedavg_minus_local_only_client_local_test_macro_f1_mean
341593,iid,11,0.9483333731727267,0.9225672285470168,0.9609074336641685,0.9545257822996444,0.9958333333333333,0.004166666666666667,0.9284429268218769,0.03533358666804803,0.8763479758828595,0.9811350090697072,0.9155284299071026,0.04446463818567062,0.8519067467508932,0.982128023481278,0.01291449691477431
341593,non-iid,28,0.9477167842802467,0.9438490774173682,0.957666599149281,0.9482950699063477,0.9805555555555555,0.019444444444444445,0.7194233862284577,0.15467436529720652,0.47532691833209967,0.9498933901918977,0.6348494256493613,0.20575096010147206,0.16166666666666665,0.9301838533155259,0.08457396057909639
342593,iid,28,0.9663699881437063,0.9587418220332969,0.9779218148673283,0.972193717328612,0.9962962962962963,0.003703703703703704,0.9608598563855654,0.0323343488286551,0.8887987012987013,0.9947240259740261,0.9060942418878359,0.046800011195211724,0.8083410063007935,0.9789144371545287,0.05476561449772943
342593,non-iid,27,0.9419008736540125,0.9368555416191029,0.9528053473769496,0.939103551027845,0.9914351851851851,0.008564814814814815,0.6669342963608523,0.1534754012186032,0.4252350015468456,0.9672227897000472,0.6607356603746157,0.12905736378149352,0.44715312327252627,0.8802999948631017,0.0061986359862366
343593,iid,11,0.9438093588486683,0.9215582349396421,0.9635406117075147,0.9582288477865486,0.9962962962962963,0.003703703703703704,0.9248373983684833,0.024013923903527197,0.8900246288962449,0.9729123533471359,0.9012694194745542,0.04180916683707158,0.8473852403871035,0.9776958826419828,0.023567978893929142
343593,non-iid,29,0.9462690789200754,0.9496299880085922,0.9532104516913105,0.9391277351981963,0.9902777777777778,0.009722222222222222,0.7020864849240419,0.16429077267161066,0.37450980392156863,0.951662799460648,0.6583516093296577,0.15181071249872524,0.38271604938271603,0.9196565697401816,0.04373487559438416
344593,iid,23,0.9672723470965222,0.9585397343974796,0.977314158395787,0.972781685332897,0.9965277777777778,0.003472222222222222,0.9599137293680897,0.026929719240797935,0.9149166220795434,0.9931172986408588,0.9112700447051515,0.04470317742178695,0.8219463967973112,0.981659696679599,0.048643684662938225
344593,non-iid,22,0.9454255692768522,0.9318889441922509,0.9505772736479644,0.9374028830754519,0.9868055555555556,0.013194444444444444,0.7580935087368481,0.12302835221990394,0.4916892087310094,1.0,0.6774964214682275,0.1529920469773953,0.4536019536019536,0.9632546312410567,0.08059708726862058
345593,iid,18,0.9591699971387296,0.9319176547759275,0.972655458780636,0.9670774709810995,0.9972222222222222,0.002777777777777778,0.9408582429237767,0.03795992081563545,0.8693970789265415,0.9931172986408588,0.912686222401602,0.04575464924919153,0.8449600744798941,0.9915078827398344,0.028172020522174712
345593,non-iid,28,0.9563347911407251,0.9447189141923206,0.9600972250354466,0.9491761403909559,0.9935185185185185,0.006481481481481481,0.6999610636066543,0.1063475873149558,0.5,0.8875766952068952,0.6299539482836839,0.1417484283039618,0.41496598639455784,0.8887277906028334,0.07000711532297044
